pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,integrated_gradients,298.8,154572.31428571424,37,1292,5,False
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,integrated_gradients,303.1333333333333,32463.695238095235,80,717,5,False
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,integrated_gradients,304.0,80317.42857142857,67,1033,5,False
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,integrated_gradients,305.93333333333334,76156.78095238096,41,939,5,False
REACTOME_TCR_SIGNALING,integrated_gradients,306.8,83885.02857142857,40,1209,5,False
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,integrated_gradients,306.93333333333334,67437.35238095236,101,1179,5,False
REACTOME_GABA_RECEPTOR_ACTIVATION,integrated_gradients,307.73333333333335,41953.49523809523,122,781,5,False
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,integrated_gradients,311.06666666666666,46924.352380952376,86,828,5,False
REACTOME_CELLULAR_SENESCENCE,integrated_gradients,311.6,51948.82857142856,62,922,5,False
REACTOME_VISUAL_PHOTOTRANSDUCTION,integrated_gradients,312.0,69196.71428571426,85,1025,5,False
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,integrated_gradients,312.26666666666665,33593.63809523809,75,608,5,False
REACTOME_INTERFERON_GAMMA_SIGNALING,integrated_gradients,313.73333333333335,34850.352380952376,75,804,5,False
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,integrated_gradients,313.8666666666667,45053.98095238096,45,870,5,False
REACTOME_DISEASES_OF_GLYCOSYLATION,integrated_gradients,314.2,89458.45714285715,65,1070,5,False
REACTOME_HATS_ACETYLATE_HISTONES,integrated_gradients,314.4,53278.39999999999,81,863,5,False
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,integrated_gradients,316.46666666666664,37910.980952380945,50,761,5,False
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,integrated_gradients,318.06666666666666,85122.63809523812,20,1022,5,False
REACTOME_NUCLEOTIDE_EXCISION_REPAIR,integrated_gradients,321.73333333333335,81440.06666666667,72,1158,5,False
